reference	verse	book
Joshua 20:4	[When a man runs to one of those cities] the man must stand at the gate of that city. And that man must explain to the leaders of the city [that the man did not want [to kill that person]]. Then the leaders must let [that man enter the city]. And those leaders must let [that man live in that city].	Joshua
Genesis 41:11	[While we(officers) were in prison] we(officers) dreamed on the same night.	Genesis
Matthew 9:13	But you(Pharisees) (imp) go. And you(Pharisees) (imp) learn the thing [that the following words mean]. (complex) The Scriptures say, ["I(God) want/desire mercy [more-than I(God) want/desire gifts/sacrifices]"]. (simple) The Scriptures say, [" I(God) want [you(people) to be kind/merciful] [more than I(God) want [you(people) to give/offer gifts/sacrifices to me(God)]]"]. For I(Jesus) did not come [in order to call-A the good/righteous people]. Instead, I(Jesus) came [in order to call-A people [who do _routinely sins]]". _footnote You(people) (imp) see Hosea 6:6.	Matthew
Genesis 21:3	Abraham named the son [who Sarah birthed] Isaac.	Genesis
Genesis 16:12	and the angel said, ["Ishmael will be like a wild donkey.] Ishmael will fight every person. and every person will fight Ishmael. Ishmael will attack all Ishmael's brothers."	Genesis
Esther 9:19	Therefore the Jews [that live in villages] always celebrate with a feast on March 8. And on that day those Jews give gifts to each-other(Jews).	Esther
1 Samuel 13:6	[When the Israelites saw the Philistines' army] the Israelites became very afraid. So the Israelites hid in caves and behind bushes. The Israelites also hid behind stones. And the Israelites hid in holes and in wells.	1_Samuel
Matthew 26:25	(norhetorical) Then Judas-Iscariot, [_descriptive who was the follower/disciple [who will give Jesus to Jesus's enemies]], asked, ["Rabbi, am I(Judas) the follower/disciple [who will give you(Lord) to your(Lord's) enemies]?"] (statement) Then Judas-Iscariot, [_descriptive who was the follower/disciple [who will give Jesus to Jesus's enemies]], said, ["Rabbi, I(Judas) am certainly not the follower/disciple [who will give you(Lord) to your(Lord's) enemies]!"] _paragraph Jesus said, ["Yes]. You(Judas) are that follower/disciple."	Matthew
2 Samuel 15:6	Many Israelites came to King David [in order to ask [David to help the Israelites]]. And Absalom was very kind to all of those Israelites. So the Israelites liked Absalom much.	2_Samuel
Mark 15:28	Thus the event [that the Scriptures described] happened/be-fulfilled. The Scriptures said, ["The servant of the Lord-A was treated badly _implicit by people _implicitActiveAgent [just-like a person [who breaks laws] is treated badly _implicit by people _implicitActiveAgent"]]. (footnote) Most manuscripts of this part of the Scriptures do not include verse 28. But some copies/manuscripts of this part of the Scriptures include verse 28.	Mark
Esther 6:7	So Haman said to the king, ["You(king) should honor that man [by doing certain things for that man].]	Esther
